epoch,tier,static_ops_sum_mean,autotuned_ops_sum_mean,pct_ops_sum,static_write_p99_us_mean,autotuned_write_p99_us_mean,pct_write_p99,static_get_p99_us_mean,autotuned_get_p99_us_mean,pct_get_p99,static_compact_write_mb_mean,autotuned_compact_write_mb_mean,pct_compact_write_mb,static_runtime_sec_mean,autotuned_runtime_sec_mean,pct_runtime_sec,static_stall_p99_us_mean,autotuned_stall_p99_us_mean,pct_stall_p99,static_drains_sum_mean,autotuned_drains_sum_mean,pct_drains_sum,static_rate_limit_mean,autotuned_rate_limit_mean,static_bg_jobs_mean,autotuned_bg_jobs_mean,tenant_count_per_trial
0,high,10389.8,8378.8,-19.355521761727847,29477.72815645,31788.1234494,7.8377657894387776,161.2230458,163.15550105,1.1986222195536689,3943.1561044,3969.2197986,0.6609856041691176,254.89045000000002,310.33605,21.75271768714755,20893.69440015,22291.02923045,6.687830325928212,6309.0,10682.8,69.32635916944048,7000000.0,7000000.0,2.0,2.0,4.0
0,mid,36833.6,31085.4,-15.605859867077875,521.438608975,576.602207525,10.579116620926099,100.940634525,100.69934574999999,-0.23904027960141017,1136.0925704,1113.5492558,-1.9842850122735012,255.05030000000002,312.896525,22.68032031328722,1424549999999999.5,1395942857142856.5,-2.0081529505558304,1795.4,4229.0,135.5463963462181,7000000.0,7000000.0,2.0,2.0,8.0
0,low,6806.4,5923.8,-12.967207334273622,12.3942469,12.74433975,2.824639954525998,30.0087079,31.547947699999998,5.129310482574945,447.198578,447.24140079999995,0.00957579073517234,255.05395,312.9004,22.680083958707552,1778661782538434.0,1778754709971906.5,0.005224570201312062,527.2,1170.8,122.07890743550833,7000000.0,7000000.0,2.0,2.0,4.0
1,high,11637.8,9289.0,-20.182508721579673,30650.71898545,36097.1792967,17.76943736241703,161.4981235,162.11281375,0.38061758036462834,3892.7627204000005,3897.1556486,0.11284859919609147,220.84830000000002,274.80174999999997,24.430095228263006,20950.6725209,24588.7615733,17.365022763687943,6354.4,10186.8,60.31096563011455,7000000.0,7000000.0,2.0,2.0,4.0
1,mid,109076.8,84099.0,-22.899278306660996,939.33518695,944.2519651499999,0.5234317066269645,129.750489175,121.62099270000002,-6.265484258818788,298.86023439999997,331.2098266,10.824321363779266,224.5797,282.2723,25.689142874445015,418700000001043.25,678425000000651.6,62.031287317640604,817.2,2232.4,173.17670093000487,7000000.0,7000000.0,2.0,2.0,8.0
1,low,588394.8,620902.2,5.524759906103838,12.325231050000001,11.0257203,-10.543500115561743,37.430638550000005,34.11113235,-8.868419905703174,0.6279216,0.41861499999999996,-33.33323778000311,224.58375,282.27650000000006,25.68874640306791,0.0,0.0,,1.4,1.2,-14.28571428571428,7000000.0,7000000.0,2.0,2.0,4.0
2,high,11731.8,9438.8,-19.54516783443291,31043.001147050003,38514.78472425,24.06914055057474,163.4129177,163.84057805,0.2617053510941547,3852.7029190000003,3796.8555331999996,-1.4495637731262279,234.41770000000002,279.54475,19.250700778994066,21219.4065977,26471.71653155,24.752388384033818,6272.0,10066.0,60.491071428571416,7000000.0,7000000.0,2.0,2.0,4.0
2,mid,97228.8,85489.0,-12.074405937335442,1220.61527255,1156.894547675,-5.220377485682315,140.9435353,137.476379075,-2.4599611593537185,436.0160502,360.5955242,-17.297649012095928,197.9799,236.24120000000002,19.325850755556505,316650000001449.75,155125000001581.4,-51.010579503909305,958.4,2284.0,138.31385642737897,7000000.0,7000000.0,2.0,2.0,8.0
2,low,530124.0,548097.2,3.3903765911371675,12.8726431,11.499158750000001,-10.669792825997003,43.05631445,38.341233550000005,-10.950962617749083,6.2792182,3.3489177999999997,-46.66664394621611,236.36935,281.3956,19.04910683216754,0.0,0.0,,12.0,11.4,-4.999999999999993,7000000.0,7000000.0,2.0,2.0,4.0
3,high,10874.2,8803.8,-19.039561530963212,31393.6493347,43728.2458016,39.29010079521509,163.33117575,161.09420110000002,-1.369594408249386,4221.8638672,4165.695678599999,-1.330412120494362,238.2092,290.05815,21.766140854341476,20453.52451165,28823.15636385,40.92024260871416,6734.4,10534.6,56.4296745070088,7000000.0,7000000.0,2.0,2.0,4.0
3,mid,105137.4,92050.4,-12.4475210534025,963.7768635250001,961.635457675,-0.2221889662476384,127.54585975,118.9921479,-6.70638142764175,314.0922874,287.7183754,-8.396867117724705,199.752475,244.01190000000003,22.157134723862626,515700000001144.1,295475000001306.8,-42.704091525954766,822.4,2043.8,148.51653696498053,7000000.0,7000000.0,2.0,2.0,8.0
3,low,471124.4,494507.2,4.96319018925786,12.3702364,11.03289345,-10.810973264827828,53.954322950000005,50.447060199999996,-6.500429545284492,12.5584366,7.744366599999999,-38.33335432851571,238.29389999999998,291.36685,22.27205564221326,0.0,0.0,,23.8,24.2,1.680672268907557,7000000.0,7000000.0,2.0,2.0,4.0
